"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4207.19 0.747222 0.734588 0.275935 0.876073
4207.54 0.749901 0.738406 0.275389 0.876043
4207.88 0.743734 0.741189 0.275635 0.876015
4208.23 0.731356 0.742891 0.275881 0.875988
4208.57 0.716165 0.743619 0.275828 0.875964
4208.92 0.704697 0.743616 0.275695 0.875941
4209.26 0.704926 0.743209 0.274893 0.87592
4209.6 0.719727 0.742702 0.270987 0.875901
4209.95 0.739742 0.74228 0.267163 0.875884
4210.29 0.754275 0.741976 0.26465 0.875869
4210.64 0.760574 0.741711 0.263124 0.875855
4210.98 0.762639 0.741358 0.261611 0.875843
4211.33 0.763966 0.740811 0.260889 0.875834
4211.67 0.764677 0.740023 0.260211 0.875826
4212.02 0.763931 0.738951 0.259559 0.87582
4212.36 0.761588 0.737471 0.258953 0.875816
4212.71 0.758596 0.735359 0.25835 0.875814
4213.05 0.755991 0.73234 0.257397 0.875813
4213.4 0.754792 0.728147 0.256318 0.875815
4213.74 0.75601 0.722697 0.25526 0.875819
4214.08 0.759562 0.716224 0.254326 0.875824
4214.43 0.762255 0.709284 0.253398 0.875832
4214.77 0.760391 0.702633 0.253295 0.875842
4215.12 0.751262 0.697073 0.254 0.875853
4215.46 0.733141 0.693247 0.254709 0.875867
4215.81 0.706142 0.691494 0.257865 0.875883
4216.15 0.680276 0.691834 0.261374 0.8759
4216.5 0.668836 0.694085 0.263494 0.87592
4216.84 0.676822 0.698002 0.262008 0.875942
4217.19 0.694635 0.703385 0.260534 0.875966
4217.53 0.711828 0.710111 0.259174 0.875992
4217.88 0.725077 0.718091 0.257873 0.87602
4218.22 0.735524 0.727144 0.256742 0.87605
4218.57 0.743995 0.736881 0.257757 0.876082
4218.91 0.750072 0.746689 0.258778 0.876116
4219.26 0.753109 0.755818 0.260279 0.876153
4219.6 0.753144 0.763491 0.262349 0.876191
4219.95 0.750969 0.769053 0.264443 0.876232
4220.3 0.74747 0.772104 0.266522 0.876275
4220.64 0.743887 0.772543 0.268618 0.87632
4220.99 0.741587 0.770495 0.270677 0.876368
4221.33 0.740999 0.766203 0.272568 0.876417
4221.68 0.740723 0.759935 0.274479 0.876469
4222.02 0.739167 0.751881 0.276468 0.876523
4222.37 0.735006 0.74207 0.27851 0.876579
4222.71 0.727098 0.730393 0.28062 0.876637
4223.06 0.714607 0.716674 0.28393 0.876698
4223.4 0.697776 0.700749 0.287298 0.876761
4223.75 0.677109 0.682563 0.290869 0.876826
4224.1 0.65363 0.6623 0.294695 0.876893
4224.44 0.628989 0.640474 0.298597 0.876963
4224.79 0.605024 0.617939 0.30104 0.877035
4225.13 0.584607 0.595876 0.303194 0.877109
4225.48 0.571022 0.575677 0.30476 0.877186
4225.82 0.565678 0.558731 0.304234 0.877265
4226.17 0.566081 0.546186 0.30371 0.877346
4226.52 0.569212 0.53878 0.302517 0.87743
4226.86 0.571557 0.53674 0.300929 0.877516
4227.21 0.569242 0.539816 0.299389 0.877604
4227.55 0.560923 0.547459 0.299641 0.877694
4227.9 0.554825 0.559052 0.299893 0.877786
4228.24 0.561157 0.574025 0.298559 0.877881
4228.59 0.580612 0.591867 0.295058 0.877978
4228.94 0.602085 0.612045 0.291618 0.878076
4229.28 0.61564 0.633828 0.289305 0.878177
4229.63 0.6247 0.656143 0.287257 0.87828
4229.97 0.638381 0.677621 0.284925 0.878385
4230.32 0.661466 0.696813 0.281528 0.878491
4230.67 0.689432 0.712477 0.278191 0.8786
